Wall time,Step,Value
1637755826.6547463,17015,0.0
1637756093.9259417,17027,0.0
1637756116.0983222,17039,0.0
1637756232.446864,17101,0.0
1637756236.5251424,17103,0.0
1637756294.0126388,17135,0.0
1637756297.2682545,17136,0.0
1637756301.083044,17138,0.0
1637756605.5387275,17153,0.0
1637756808.571108,17266,0.0
1637757105.7073615,17295,0.0
1637757122.0497296,17303,0.0
1637757125.5978117,17304,0.0
1637757288.865667,17387,0.0
1637757305.336394,17394,0.0
1637757806.526169,17489,0.0
1637757831.98417,17504,0.0
1637757834.7880216,17505,0.0
1637757862.0128691,17520,0.0
1637757863.5152502,17521,0.0
1637758150.934436,17543,0.0
1637758200.4485672,17569,0.0
1637758262.0336282,17602,0.0
1637758321.5197287,17633,0.0
1637758758.859722,17686,0.0
1637758847.1786594,17735,0.0
1637758855.046732,17739,0.0
1637758865.8112516,17745,0.0
1637758880.2070374,17753,0.0
1637758886.888843,17757,0.0
1637759182.155935,17793,0.0
1637759189.2478523,17796,0.0
1637759207.0972962,17807,0.0
1637759238.435062,17824,0.0
1637759259.8498886,17836,0.0
1637759301.114403,17860,0.0
1637759335.868124,17880,0.0
1637759381.0557845,17907,0.0
1637759395.125244,17914,0.0
1637759715.0896187,17936,0.0
1637759753.7609088,17957,0.0
1637759757.8434844,17960,0.0
1637759843.9703033,18005,0.0
1637760327.6278799,18148,0.0
1637760694.502303,18200,0.0
1637760701.9229703,18204,0.0
1637760712.0440242,18210,0.0
1637760722.4559202,18217,0.0
1637760733.3526168,18223,0.0
1637760760.9974296,18238,0.0
1637760774.3755517,18246,0.0
1637760825.5856428,18276,0.0
1637760825.9878733,18277,0.0
1637760846.332827,18289,0.0
1637761105.9132564,18309,0.0
1637761120.1738694,18316,0.0
1637761163.845262,18340,0.0
1637761203.9527538,18362,0.0
1637761240.5755477,18382,0.0
1637761261.508773,18394,0.0
1637761675.1903245,18458,0.0
1637761736.934386,18493,0.0
1637761740.1782708,18494,0.0
1637761761.2910395,18506,0.0
1637761769.0845633,18511,0.0
1637761828.894336,18544,0.0
1637762234.7046978,18631,0.0
1637762246.0913887,18637,0.0
1637762250.7968981,18640,0.0
1637762285.7547894,18660,0.0
1637762297.8869529,18667,0.0
1637762651.9242668,18698,0.0
1637762796.1547303,18770,0.0
1637762807.0916336,18776,0.0
1637762807.4955058,18777,0.0
1637762856.2126446,18803,0.0
1637762875.108053,18812,0.0
1637763166.838831,18837,0.0
1637763226.3067014,18867,0.0
1637763310.3256013,18911,0.0
1637763352.627425,18933,12.5
1637763717.4665694,18971,0.0
1637763736.4851189,18981,0.0
1637763743.8613615,18985,0.0
1637763747.2181828,18986,0.0
1637764156.6691558,19081,0.0
1637764160.7843874,19083,0.0
1637764171.5229387,19088,0.0
1637764286.72057,19148,0.0
1637764290.7375882,19150,0.0
1637764366.4101305,19191,0.0
1637764760.2102878,19241,0.0
1637764775.1160302,19249,0.0
1637764819.3823874,19274,0.0
1637764852.3784854,19292,0.0
1637764904.75098,19319,0.0
1637765171.0400794,19337,0.0
1637765195.6617513,19350,0.0
1637765236.0332081,19373,0.0
1637765730.433034,19485,12.5
1637765737.2880647,19489,0.0
1637765765.6411505,19505,0.0
1637765815.1220665,19533,0.0
1637765884.1814306,19573,0.0
1637766220.0440376,19635,0.0
1637766223.518232,19637,0.0
1637766230.4502602,19641,0.0
1637766241.039051,19647,0.0
1637766337.685675,19703,0.0
1637766645.617073,19719,0.0
1637766668.946637,19733,0.0
1637766729.333899,19767,0.0
1637766756.3543155,19783,0.0
1637767102.7462192,19853,0.0
1637767105.758293,19854,0.0
1637767112.50673,19858,0.0
1637767134.2060282,19871,0.0
1637767161.712841,19886,0.0
1637767171.9141812,19892,0.0
1637767265.9200833,19947,0.0
1637767289.98412,19960,0.0
1637767615.4941456,19984,0.0
1637767653.4698813,20006,0.0
1637768186.4889636,20183,0.0
1637768223.4349847,20204,0.0
1637768557.428749,20234,0.0
1637768613.4788122,20266,0.0
1637768628.2201517,20275,0.0
1637768693.2375805,20312,0.0
1637768994.4023712,20356,0.0
1637769008.3705986,20365,0.0
1637769042.6736317,20385,0.0
1637769080.3869298,20407,0.0
1637769096.9561179,20416,0.0
1637769121.019954,20430,0.0
1637769154.0082657,20450,0.0
1637769157.7464046,20453,0.0
1637769499.0106955,20490,0.0
1637769546.3256783,20518,0.0
1637769560.8934455,20527,0.0
1637769577.223678,20536,0.0
1637769580.7721996,20538,0.0
1637769952.398594,20621,0.0
1637769971.9133525,20632,0.0
1637770018.0603843,20659,0.0
1637770062.9527357,20685,0.0
1637770104.237897,20710,0.0
1637770110.3410473,20713,0.0
1637770139.5248172,20730,0.0
1637770583.7312217,20819,0.0
1637770590.1908026,20823,0.0
1637770616.5136237,20838,0.0
1637770619.7508028,20840,0.0
1637770626.6589868,20845,0.0
1637770638.714066,20851,0.0
1637770908.9121916,20864,0.0
1637770924.464704,20872,0.0
1637770994.24152,20908,0.0
1637771027.062929,20924,0.0
1637771448.9308913,20996,0.0
1637771456.8828487,21001,0.0
1637771503.04608,21025,0.0
1637771540.4791765,21045,0.0
1637771551.9950016,21051,0.0
1637771608.1455305,21081,0.0
1637771652.063066,21105,0.0
1637771672.7562325,21116,0.0
1637771950.8500059,21139,0.0
1637771973.1176403,21151,0.0
1637772446.9181716,21249,0.0
1637772472.969105,21262,0.0
1637772523.371912,21291,0.0
1637772544.008281,21302,0.0
1637772584.9810102,21325,0.0
1637772607.5985112,21337,0.0
1637772625.901621,21348,0.0
